,Date,delayed flights #,Temperature (K),Humidity(%),Pressure(mb),Wind Speed(mph),Wind Direction,Weather Description
0,2013-01-01,87,272.7,49.9,1019.9,6.1,272.2,broken clouds
1,2013-01-02,83,276.4,53.7,1012.2,6.4,268.8,overcast clouds
2,2013-01-03,97,270.7,58.0,1015.7,5.7,314.5,broken clouds
3,2013-01-04,92,271.1,55.0,1020.9,4.5,293.3,broken clouds
4,2013-01-05,85,274.0,52.3,1018.8,6.1,262.0,overcast clouds
5,2013-01-06,89,275.4,46.3,1020.3,4.9,276.7,sky is clear
6,2013-01-07,41,275.8,56.6,1020.1,3.0,223.8,scattered clouds
7,2013-01-08,44,277.3,51.7,1022.4,4.6,262.2,few clouds
8,2013-01-09,42,275.0,54.9,1028.8,3.0,187.1,sky is clear
9,2013-01-10,39,277.3,58.6,1032.0,2.9,210.8,scattered clouds
10,2013-01-11,51,279.8,47.3,1028.5,6.0,296.5,sky is clear
11,2013-01-12,40,276.6,64.3,1030.4,2.9,81.7,broken clouds
12,2013-01-13,106,279.8,93.7,1020.9,2.8,72.2,mist
13,2013-01-14,62,280.4,92.7,1020.5,2.1,131.5,mist
14,2013-01-15,30,283.2,84.1,1017.4,2.6,234.8,fog
15,2013-01-16,90,276.8,63.6,1025.2,3.4,229.0,overcast clouds
16,2013-01-17,56,275.2,75.8,1015.6,2.8,154.8,mist
17,2013-01-18,47,276.8,63.4,1015.3,4.2,282.1,broken clouds
18,2013-01-19,45,272.6,46.6,1024.2,4.7,243.8,overcast clouds
19,2013-01-20,36,274.4,48.3,1028.2,5.6,217.1,sky is clear
20,2013-01-21,64,279.8,43.9,1010.5,6.4,239.3,scattered clouds
21,2013-01-22,53,272.1,45.4,1020.1,3.5,265.8,broken clouds
22,2013-01-23,59,268.1,50.0,1018.0,7.2,294.8,sky is clear
23,2013-01-24,84,263.5,43.0,1022.8,6.6,301.2,sky is clear
24,2013-01-25,103,264.3,44.2,1022.8,5.1,306.0,few clouds
25,2013-01-26,83,265.2,59.0,1030.5,5.3,274.8,sky is clear
26,2013-01-27,51,266.4,69.4,1025.8,5.2,321.5,scattered clouds
27,2013-01-28,101,268.7,52.2,1030.6,5.6,302.0,sky is clear
28,2013-01-29,27,276.2,84.2,1032.3,1.8,231.1,broken clouds
29,2013-01-30,75,277.1,85.8,1023.0,2.8,128.8,light rain
30,2013-01-31,114,279.7,96.0,1015.4,3.7,76.7,fog
31,2013-02-01,84,279.7,69.1,1008.6,9.6,255.4,overcast clouds
32,2013-02-02,70,271.8,43.4,1013.3,7.6,283.5,few clouds
33,2013-02-03,86,269.3,45.5,1025.0,4.9,254.9,broken clouds
34,2013-02-04,76,269.8,69.4,1014.4,2.5,151.7,mist
35,2013-02-05,38,270.1,48.6,1012.1,6.8,281.0,few clouds
36,2013-02-06,42,271.0,69.0,1014.2,3.6,113.1,mist
37,2013-02-07,54,273.4,66.9,1016.4,3.9,199.8,mist
38,2013-02-08,64,271.4,36.6,1029.9,3.9,168.5,overcast clouds
39,2013-02-09,54,273.3,73.4,1019.5,6.9,55.0,overcast clouds
40,2013-02-10,91,271.6,70.1,1011.5,7.6,286.5,broken clouds 1 mist
41,2013-02-11,140,270.6,49.2,1032.1,3.5,264.9,sky is clear
42,2013-02-12,38,274.2,83.3,1019.1,1.6,113.6,fog
43,2013-02-13,58,277.7,64.4,1009.1,5.1,233.7,scattered clouds
44,2013-02-14,79,275.0,51.7,1011.9,2.7,186.0,broken clouds 1 few clouds
45,2013-02-15,80,276.2,64.0,1010.5,3.4,224.6,mist
46,2013-02-16,66,277.9,62.6,1015.4,3.5,204.2,scattered clouds
47,2013-02-17,106,276.4,63.3,1013.2,3.8,179.2,overcast clouds
48,2013-02-18,82,271.7,40.5,1006.5,9.2,289.6,broken clouds
49,2013-02-19,125,268.6,40.4,1019.3,9.0,295.2,sky is clear
50,2013-02-20,85,275.0,52.2,1017.1,3.8,195.0,scattered clouds
51,2013-02-21,100,274.1,55.9,1007.4,5.5,278.2,broken clouds 1 few clouds 2 sky is clear
52,2013-02-22,98,271.2,45.3,1015.9,8.0,300.2,few clouds
53,2013-02-23,116,271.7,59.6,1026.5,4.2,140.8,sky is clear
54,2013-02-24,77,276.1,85.3,1021.1,3.8,72.5,mist
55,2013-02-25,59,277.1,81.0,1010.0,5.5,242.5,mist
56,2013-02-26,76,275.8,55.5,1018.2,4.6,290.0,broken clouds
57,2013-02-27,157,276.4,64.3,1023.7,3.6,80.5,overcast clouds
58,2013-02-28,55,278.3,86.6,1008.7,6.3,110.6,moderate rain
59,2013-03-01,71,279.6,62.5,1002.1,2.9,227.7,overcast clouds
60,2013-03-02,67,277.5,59.8,1003.8,4.9,315.2,overcast clouds
61,2013-03-03,61,275.7,56.2,1007.3,5.5,321.7,overcast clouds
62,2013-03-04,38,273.6,54.1,1006.2,5.5,313.5,broken clouds
63,2013-03-05,40,273.7,51.1,1008.1,7.8,311.2,scattered clouds
64,2013-03-06,62,275.9,59.2,1016.8,5.5,195.8,few clouds 1 scattered clouds
65,2013-03-07,81,277.2,57.7,1014.9,7.1,81.7,overcast clouds
66,2013-03-08,217,275.8,68.7,1016.2,8.0,139.5,heavy snow
67,2013-03-09,82,274.2,78.6,1019.8,6.0,339.8,mist
68,2013-03-10,79,278.4,46.4,1024.8,4.7,282.3,sky is clear
69,2013-03-11,82,277.4,71.8,1027.4,1.5,74.0,scattered clouds
70,2013-03-12,123,279.8,79.1,1025.7,2.7,145.9,overcast clouds
71,2013-03-13,71,282.2,89.4,1016.0,4.7,186.5,broken clouds 1 scattered clouds
72,2013-03-14,63,279.4,56.9,1011.2,2.9,251.9,sky is clear
73,2013-03-15,68,275.0,46.5,1014.5,6.3,295.3,broken clouds
74,2013-03-16,95,275.3,35.4,1013.5,4.3,289.8,broken clouds
75,2013-03-17,77,276.1,53.6,1014.0,1.6,204.9,broken clouds
76,2013-03-18,140,273.6,51.3,1024.2,1.5,216.7,overcast clouds 1 sky is clear
77,2013-03-19,112,272.9,46.4,1030.7,1.9,138.8,overcast clouds 1 sky is clear
78,2013-03-20,85,275.3,85.0,1012.8,4.6,142.9,mist
79,2013-03-21,79,276.5,42.7,1017.5,2.6,271.3,sky is clear
80,2013-03-22,80,275.0,38.4,1015.6,1.5,299.6,overcast clouds
81,2013-03-23,108,274.1,39.5,1014.8,2.4,279.1,sky is clear
82,2013-03-24,95,276.6,41.1,1017.8,3.5,292.0,sky is clear
83,2013-03-25,100,276.9,49.1,1011.1,2.0,207.1,sky is clear
84,2013-03-26,27,276.7,68.8,1002.9,2.9,78.6,overcast clouds
85,2013-03-27,41,278.3,63.4,1005.0,2.2,239.2,overcast clouds
86,2013-03-28,64,279.2,54.9,1011.4,2.4,299.3,sky is clear
87,2013-03-29,42,279.2,63.7,1015.3,2.3,276.0,sky is clear
88,2013-03-30,34,280.9,52.4,1019.1,2.5,212.3,sky is clear
89,2013-03-31,51,281.1,58.3,1019.5,1.4,195.9,sky is clear
90,2013-04-01,105,280.6,63.8,1017.1,2.4,113.0,sky is clear
91,2013-04-02,82,282.6,74.6,1005.2,4.4,217.3,mist
92,2013-04-03,78,276.7,34.6,1014.0,6.3,305.8,sky is clear
93,2013-04-04,88,276.9,30.0,1019.5,6.6,292.9,few clouds
94,2013-04-05,77,277.6,38.5,1025.4,4.8,214.6,sky is clear
95,2013-04-06,69,282.1,41.5,1014.0,3.8,216.5,overcast clouds
96,2013-04-07,52,279.6,31.0,1020.8,5.4,272.0,sky is clear
97,2013-04-08,37,280.8,54.9,1023.5,5.4,181.3,broken clouds
98,2013-04-09,45,287.0,63.9,1016.8,2.9,148.7,broken clouds
99,2013-04-10,104,291.3,55.7,1015.0,3.3,168.5,broken clouds
100,2013-04-11,102,291.2,52.3,1012.8,3.5,85.8,broken clouds
101,2013-04-12,149,286.9,77.8,1012.6,3.0,127.3,overcast clouds
102,2013-04-13,80,279.9,78.3,1013.0,7.3,69.6,mist
103,2013-04-14,91,281.2,69.0,1010.1,3.5,180.4,broken clouds
104,2013-04-15,51,284.0,51.8,1016.5,3.9,225.0,broken clouds
105,2013-04-16,66,282.7,44.9,1025.5,3.2,74.2,broken clouds
106,2013-04-17,66,285.2,68.0,1026.7,4.6,139.8,broken clouds
107,2013-04-18,128,289.8,61.5,1021.6,3.4,165.8,broken clouds
108,2013-04-19,150,285.4,55.2,1025.8,3.8,132.5,few clouds
109,2013-04-20,80,289.0,82.2,1014.2,5.0,167.1,mist
110,2013-04-21,93,286.4,53.0,1010.6,6.5,247.4,broken clouds
111,2013-04-22,140,280.9,35.5,1030.7,5.0,247.9,scattered clouds
112,2013-04-23,101,280.9,49.5,1036.6,4.8,98.3,broken clouds
113,2013-04-24,88,280.1,62.4,1028.4,6.0,53.7,overcast clouds
114,2013-04-25,110,284.5,63.4,1016.7,4.2,207.5,few clouds 1 sky is clear
115,2013-04-26,72,286.6,48.4,1018.0,5.2,242.6,few clouds
116,2013-04-27,34,286.0,36.2,1026.4,3.0,192.9,few clouds
117,2013-04-28,49,286.6,32.5,1028.6,2.5,69.2,few clouds
118,2013-04-29,36,287.0,37.0,1025.2,3.4,147.9,few clouds
119,2013-04-30,28,285.8,64.5,1023.3,3.7,146.2,overcast clouds
120,2013-05-01,44,286.9,56.8,1024.5,3.8,100.2,broken clouds
121,2013-05-02,47,285.5,44.6,1029.3,3.1,75.4,few clouds
122,2013-05-03,48,286.8,55.3,1030.3,2.0,90.8,few clouds
123,2013-05-04,91,287.1,49.8,1029.3,4.2,100.9,scattered clouds
124,2013-05-05,51,285.3,59.3,1026.5,3.3,140.0,few clouds
125,2013-05-06,51,283.7,58.3,1025.0,4.4,91.7,few clouds
126,2013-05-07,21,285.1,67.1,1023.5,3.1,93.8,broken clouds
127,2013-05-08,139,288.0,69.8,1020.8,3.0,86.7,broken clouds
128,2013-05-09,112,289.5,84.4,1017.8,4.2,78.3,mist
129,2013-05-10,88,288.0,84.0,1014.3,2.8,80.0,light rain
130,2013-05-11,116,291.8,60.6,1014.4,2.5,178.8,broken clouds
131,2013-05-12,69,291.3,80.9,1009.9,3.7,175.0,overcast clouds
132,2013-05-13,53,290.1,52.7,1005.6,5.2,258.8,broken clouds
133,2013-05-14,26,283.9,33.1,1015.0,5.7,280.2,sky is clear
134,2013-05-15,63,283.3,38.2,1018.8,5.2,310.8,few clouds 1 sky is clear
135,2013-05-16,66,286.6,48.6,1015.8,2.8,179.8,broken clouds
136,2013-05-17,39,293.0,77.5,1006.4,0.7,147.4,overcast clouds 1 scattered clouds
137,2013-05-18,40,292.0,45.0,1013.9,1.1,233.2,sky is clear
138,2013-05-19,164,288.6,76.3,1023.9,0.3,157.1,overcast clouds
139,2013-05-20,53,287.2,90.7,1025.3,1.8,133.2,mist
140,2013-05-21,94,291.3,87.4,1019.5,1.4,115.3,mist
141,2013-05-22,136,296.6,83.5,1014.3,1.2,153.5,few clouds
142,2013-05-23,127,294.8,80.7,1012.3,2.0,112.2,mist
143,2013-05-24,146,295.1,81.4,1010.9,2.6,128.3,broken clouds
144,2013-05-25,93,288.7,86.8,1008.5,3.7,231.7,overcast clouds
145,2013-05-26,49,282.2,81.8,1012.7,4.3,288.3,overcast clouds
146,2013-05-27,47,286.1,62.6,1015.6,3.5,243.0,sky is clear
147,2013-05-28,72,288.8,66.4,1021.8,1.4,193.6,sky is clear
148,2013-05-29,62,288.7,80.1,1022.1,1.1,112.6,sky is clear
149,2013-05-30,72,291.8,88.2,1019.1,1.0,90.9,fog
150,2013-05-31,61,300.1,76.3,1018.1,0.5,163.0,sky is clear
151,2013-06-01,46,300.7,71.3,1018.2,1.3,139.4,sky is clear
152,2013-06-02,96,300.0,80.3,1014.7,0.6,137.8,sky is clear
153,2013-06-03,97,299.5,74.8,1010.6,1.6,172.5,sky is clear
154,2013-06-04,55,295.8,82.9,1009.7,2.2,147.6,overcast clouds
155,2013-06-05,34,292.6,50.0,1013.9,2.1,239.8,sky is clear
156,2013-06-06,51,291.6,41.5,1019.7,1.4,164.7,sky is clear
157,2013-06-07,144,290.4,79.4,1018.6,1.3,126.0,sky is clear
158,2013-06-08,67,289.4,94.6,1011.6,1.9,112.6,mist
